Request: insert
Batch size: 1000
Request per second: 883402
Avg (μs): 1.132
Med (μs): 0.992
Min (μs): 0.885
Max (μs): 142.847
90% (μs): 1.026
99% (μs): 1.101
99.9% (μs): 1.824
Request: select
Batch size: 1000
Request per second: 837343
Avg (μs): 1.194
Med (μs): 1.207
Min (μs): 0.938
Max (μs): 1.285
90% (μs): 1.227
99% (μs): 1.239
99.9% (μs): 1.250
Request: replace
Batch size: 1000
Request per second: 1003577
Avg (μs): 0.996
Med (μs): 1.007
Min (μs): 0.882
Max (μs): 1.041
90% (μs): 1.023
99% (μs): 1.032
99.9% (μs): 1.038
Request: delete
Batch size: 1000
Request per second: 864604
Avg (μs): 1.157
Med (μs): 1.169
Min (μs): 0.915
Max (μs): 1.329
90% (μs): 1.189
99% (μs): 1.202
99.9% (μs): 1.214
Request: insert
Batch size: 1000
Request per second: 1000263
Avg (μs): 1.000
Med (μs): 1.009
Min (μs): 0.888
Max (μs): 1.059
90% (μs): 1.026
99% (μs): 1.038
99.9% (μs): 1.045
Request: select
Batch size: 1000
Request per second: 835428
Avg (μs): 1.197
Med (μs): 1.211
Min (μs): 0.944
Max (μs): 1.310
90% (μs): 1.229
99% (μs): 1.240
99.9% (μs): 1.291
Request: replace
Batch size: 1000
Request per second: 1003558
Avg (μs): 0.996
Med (μs): 1.005
Min (μs): 0.890
Max (μs): 1.041
90% (μs): 1.024
99% (μs): 1.034
99.9% (μs): 1.040
Request: delete
Batch size: 1000
Request per second: 864516
Avg (μs): 1.157
Med (μs): 1.171
Min (μs): 0.908
Max (μs): 1.372
90% (μs): 1.190
99% (μs): 1.202
99.9% (μs): 1.263
Request: insert
Batch size: 1000
Request per second: 1002749
Avg (μs): 0.997
Med (μs): 1.006
Min (μs): 0.873
Max (μs): 1.173
90% (μs): 1.024
99% (μs): 1.037
99.9% (μs): 1.044
Request: select
Batch size: 1000
Request per second: 835098
Avg (μs): 1.197
Med (μs): 1.211
Min (μs): 0.945
Max (μs): 1.330
90% (μs): 1.230
99% (μs): 1.239
99.9% (μs): 1.252
Request: replace
Batch size: 1000
Request per second: 1006240
Avg (μs): 0.994
Med (μs): 1.003
Min (μs): 0.877
Max (μs): 1.037
90% (μs): 1.018
99% (μs): 1.028
99.9% (μs): 1.036
Request: delete
Batch size: 1000
Request per second: 865944
Avg (μs): 1.155
Med (μs): 1.168
Min (μs): 0.906
Max (μs): 1.350
90% (μs): 1.186
99% (μs): 1.197
99.9% (μs): 1.292
Request: insert
Batch size: 1000
Request per second: 1001030
Avg (μs): 0.999
Med (μs): 1.008
Min (μs): 0.893
Max (μs): 1.044
90% (μs): 1.026
99% (μs): 1.037
99.9% (μs): 1.043
Request: select
Batch size: 1000
Request per second: 835653
Avg (μs): 1.197
Med (μs): 1.210
Min (μs): 0.950
Max (μs): 1.292
90% (μs): 1.229
99% (μs): 1.240
99.9% (μs): 1.254
Request: replace
Batch size: 1000
Request per second: 1002140
Avg (μs): 0.998
Med (μs): 1.009
Min (μs): 0.886
Max (μs): 1.039
90% (μs): 1.025
99% (μs): 1.035
99.9% (μs): 1.038
Request: delete
Batch size: 1000
Request per second: 863378
Avg (μs): 1.158
Med (μs): 1.172
Min (μs): 0.916
Max (μs): 1.375
90% (μs): 1.190
99% (μs): 1.203
99.9% (μs): 1.344
Request: insert
Batch size: 1000
Request per second: 1001948
Avg (μs): 0.998
Med (μs): 1.007
Min (μs): 0.882
Max (μs): 1.050
90% (μs): 1.024
99% (μs): 1.034
99.9% (μs): 1.046
Request: select
Batch size: 1000
Request per second: 835969
Avg (μs): 1.196
Med (μs): 1.210
Min (μs): 0.939
Max (μs): 1.314
90% (μs): 1.228
99% (μs): 1.240
99.9% (μs): 1.252
Request: replace
Batch size: 1000
Request per second: 1000586
Avg (μs): 0.999
Med (μs): 1.009
Min (μs): 0.877
Max (μs): 1.047
90% (μs): 1.026
99% (μs): 1.035
99.9% (μs): 1.043
Request: delete
Batch size: 1000
Request per second: 861440
Avg (μs): 1.161
Med (μs): 1.175
Min (μs): 0.924
Max (μs): 1.389
90% (μs): 1.195
99% (μs): 1.209
99.9% (μs): 1.256
Request: insert
Batch size: 1000
Request per second: 1004427
Avg (μs): 0.996
Med (μs): 1.005
Min (μs): 0.876
Max (μs): 1.044
90% (μs): 1.021
99% (μs): 1.031
99.9% (μs): 1.042
Request: select
Batch size: 1000
Request per second: 836173
Avg (μs): 1.196
Med (μs): 1.209
Min (μs): 0.945
Max (μs): 1.361
90% (μs): 1.228
99% (μs): 1.241
99.9% (μs): 1.260
Request: replace
Batch size: 1000
Request per second: 1003230
Avg (μs): 0.997
Med (μs): 1.006
Min (μs): 0.869
Max (μs): 1.040
90% (μs): 1.023
99% (μs): 1.034
99.9% (μs): 1.037
Request: delete
Batch size: 1000
Request per second: 864155
Avg (μs): 1.157
Med (μs): 1.170
Min (μs): 0.917
Max (μs): 1.333
90% (μs): 1.190
99% (μs): 1.200
99.9% (μs): 1.231
Request: insert
Batch size: 1000
Request per second: 1002226
Avg (μs): 0.998
Med (μs): 1.008
Min (μs): 0.878
Max (μs): 1.181
90% (μs): 1.023
99% (μs): 1.034
99.9% (μs): 1.122
Request: select
Batch size: 1000
Request per second: 835493
Avg (μs): 1.197
Med (μs): 1.211
Min (μs): 0.941
Max (μs): 1.308
90% (μs): 1.230
99% (μs): 1.242
99.9% (μs): 1.253
Request: replace
Batch size: 1000
Request per second: 1001647
Avg (μs): 0.998
Med (μs): 1.008
Min (μs): 0.887
Max (μs): 1.044
90% (μs): 1.025
99% (μs): 1.035
99.9% (μs): 1.040
Request: delete
